Assembly Accession	Organism Name	Organism Infraspecific Names Strain	Assembly Stats Total Sequence Length	Assembly Stats Contig N50	Assembly Stats GC Count	Assembly Stats GC Percent
GCA_001746415.1	Streptomyces agglomeratus	6-3-2	9128732	8325022	6429167	70.5
GCA_001746455.1	Streptomyces agglomeratus	9-3-15	8962368	8142030	6317971	70.5
GCA_001746465.1	Streptomyces agglomeratus	5-1-3	9514325	8101382	6697498	70.5
GCA_001746475.1	Streptomyces agglomeratus	5-2-6	9018469	8348226	6352476	70.5
GCF_900112355.1	Streptomyces aidingensis	CGMCC 4.5739	6482745	276870	4736138	73
GCA_900112355.1	Streptomyces aidingensis	CGMCC 4.5739	6482745	276870	4736138	73
GCF_019599145.1	Streptomyces akebiae	MG28	10549378	10257202	7476568	71
GCA_019599145.1	Streptomyces akebiae	MG28	10549378	10257202	7476568	71
GCF_014650595.1	Streptomyces alanosinicus	JCM 4714	10244856	228177	7262027	71
GCA_014650595.1	Streptomyces alanosinicus	JCM 4714	10244856	228177	7262027	71
GCF_014650615.1	Streptomyces albaduncus	JCM 4715	7929576	70080	5682191	71.5
GCF_014203495.1	Streptomyces albaduncus	CECT 3226	7925849	323502	5690334	72
GCA_014203495.1	Streptomyces albaduncus	CECT 3226	7925849	323502	5690334	72
GCA_014650615.1	Streptomyces albaduncus	JCM 4715	7929576	70080	5682191	71.5
GCF_039530985.1	Streptomyces albiaxialis	JCM 15478	9189471	283078	6690035	73
GCA_039530985.1	Streptomyces albiaxialis	JCM 15478	9189471	283078	6690035	73
GCF_008905045.1	Streptomyces albicerus	TRM68295	11977091	82685	8377650	70
GCA_008905045.1	Streptomyces albicerus	TRM68295	11977091	82685	8377650	70
GCF_039529395.1	Streptomyces albidochromogenes	JCM 13858	7327976	158238	5253542	71.5
GCF_005981925.1	Streptomyces albidochromogenes	DSM 41800	7265310	18694	5192329	71.5
GCA_005981925.1	Streptomyces albidochromogenes	DSM 41800	7265310	18694	5192329	71.5
GCA_039529395.1	Streptomyces albidochromogenes	JCM 13858	7327976	158238	5253542	71.5
GCF_000359525.1	Streptomyces albidoflavus	J1074	6841649	6841649	5016384	73.5
GCF_000156475.1	Streptomyces albidoflavus	J1074	6823670	23675	4841916	73
GCF_000717375.1	Streptomyces albidoflavus	NRRL B-2307	7202597	186085	5281510	73.5
GCF_000719435.1	Streptomyces albidoflavus	NRRL F-5618	7102828	117486	5216281	73.5
GCF_000719495.1	Streptomyces albidoflavus	NRRL F-5621	7341200	90004	5386406	73.5
GCF_000719955.1	Streptomyces albidoflavus	NRRL B-1271	7084693	160497	5202597	73.5
GCF_001509565.1	Streptomyces albidoflavus	NRRL WC-3066	7151148	67140	5249802	73.5
GCF_001577385.1	Streptomyces albidoflavus	SM254	7170504	7170504	5258852	73.5
GCF_001865795.1	Streptomyces albidoflavus	OsiLf-2	6952079	360729	5104881	73.5
GCF_002289305.1	Streptomyces albidoflavus	145	6523997	7989	4759148	73
GCF_002289335.1	Streptomyces albidoflavus	132	6797439	10498	4963075	73
GCF_002317005.1	Streptomyces albidoflavus	38	6985550	9968	5098725	73
GCF_002317025.1	Streptomyces albidoflavus	138	6978043	11431	5093914	73
GCF_002317035.1	Streptomyces albidoflavus	143	7029244	12358	5133199	73
GCF_004078575.1	Streptomyces albidoflavus	BSII#1	7003169	11575	5112515	73
GCF_004195735.1	Streptomyces albidoflavus	DSM 40455	6969071	332544	5117341	73.5
GCF_004195745.1	Streptomyces albidoflavus	NBRC 100770	7157307	334066	5255098	73.5
GCF_004195755.1	Streptomyces albidoflavus	NBRC 13083	7042329	278969	5174232	73.5
GCF_004195765.1	Streptomyces albidoflavus	CGMCC 4.1677	6978897	364125	5126015	73.5
GCF_004195775.1	Streptomyces albidoflavus	DSM 40233	7053132	262674	5177388	73.5
GCF_004195835.1	Streptomyces albidoflavus	FXJ8.011	7188121	383364	5271537	73.5
GCF_004195845.1	Streptomyces albidoflavus	CGMCC 4.1681	7227023	319881	5300418	73.5
GCF_004195855.1	Streptomyces albidoflavus	FXJ.2339	7120012	377764	5227350	73.5
GCF_004195885.1	Streptomyces albidoflavus	NBRC 12790	6953149	309124	5107188	73.5
GCF_004195895.1	Streptomyces albidoflavus	Ma24	6963119	317189	5121521	73.5
GCF_004195935.1	Streptomyces albidoflavus	CR33	7157271	352542	5256235	73.5
GCF_004195945.1	Streptomyces albidoflavus	CR10	7156688	422844	5253686	73.5
GCF_004195955.1	Streptomyces albidoflavus	CR25	7168767	522740	5264945	73.5
GCF_004195965.1	Streptomyces albidoflavus	Ma1	7268166	551090	5328051	73.5
GCF_004195995.1	Streptomyces albidoflavus	CR47	7135321	508717	5239584	73.5
GCF_004196035.1	Streptomyces albidoflavus	CR19	7103409	514855	5222384	73.5
GCF_004196045.1	Streptomyces albidoflavus	CR46	7046937	247280	5176774	73.5
GCF_004196055.1	Streptomyces albidoflavus	CR16	6970185	113214	5124130	73.5
GCF_004196095.1	Streptomyces albidoflavus	CR15	6956236	266746	5114714	73.5
GCF_004196115.1	Streptomyces albidoflavus	FXJ8.008	7169130	97051	5259158	73.5
GCF_004196125.1	Streptomyces albidoflavus	CR13	6947028	182021	5105344	73.5
GCF_004196135.1	Streptomyces albidoflavus	D62	7144751	256416	5242250	73.5
GCF_004196145.1	Streptomyces albidoflavus	FXJ8.031	6960543	494739	5118582	73.5
GCF_004196155.1	Streptomyces albidoflavus	CGMCC 4.1615	6957957	447068	5116748	73.5
GCF_004196215.1	Streptomyces albidoflavus	FXJ6.189	7356764	368474	5393809	73.5
GCF_006378235.1	Streptomyces albidoflavus	UYFA156	7131381	6823997	5236369	73.5
GCF_007896905.1	Streptomyces albidoflavus	77	7446125	1152190	5448884	73
GCF_010550625.1	Streptomyces albidoflavus	SID9939	6984444	22756	5121553	73.5
GCF_013693715.1	Streptomyces albidoflavus	J1074/R2	6942952	6942952	5085631	73
GCF_015321285.1	Streptomyces albidoflavus	ANT_B131	6968465	236213	5098176	73
GCF_015601545.1	Streptomyces albidoflavus	W68	6796629	6796629	4986446	73.5
GCF_019219645.1	Streptomyces albidoflavus	LGO-A3	7119524	533911	5223755	73.5
GCF_019219685.1	Streptomyces albidoflavus	LGO-A19	7161627	1163265	5249436	73.5
GCF_019286195.1	Streptomyces albidoflavus	LGO-A16	7054925	2183821	5178545	73.5
GCF_019286295.1	Streptomyces albidoflavus	LGO-A23	7073859	556770	5189531	73.5
GCF_020521315.1	Streptomyces albidoflavus	NBRC 12854	7167927	5298185	5253946	73.5
GCF_023502165.1	Streptomyces albidoflavus	220	7310412	71800	5366168	73.5
GCF_024592655.1	Streptomyces albidoflavus	VIP_1	7021778	275236	5163197	73.5
GCF_025630915.1	Streptomyces albidoflavus	Q	6958433	425381	5115338	73.5
GCF_026339675.1	Streptomyces albidoflavus	NBC_01691	7344443	7088082	5378867	73
GCF_026339695.1	Streptomyces albidoflavus	NBC_01670	7309386	6923361	5354149	73.5
GCF_026635925.1	Streptomyces albidoflavus	J1074_D14	6341040	6341040	4643879	73
GCF_030345275.1	Streptomyces albidoflavus	MGMM6	6932303	6932303	5096533	73.5
GCF_034479045.1	Streptomyces albidoflavus	ATCC 23899	7131284	7131284	5227645	73.5
GCF_035955795.1	Streptomyces albidoflavus	NBC_01331	7288318	7078426	5339397	73.5
GCF_036238395.1	Streptomyces albidoflavus	NBC_01271	6978313	6978313	5122154	73.5
GCF_036239155.1	Streptomyces albidoflavus	NBC_01270	7015337	7015337	5148396	73.5
GCF_036247045.1	Streptomyces albidoflavus	NBC 01722	7036030	7036030	5162747	73.5
GCF_038242915.1	Streptomyces albidoflavus	RKJM-0023	7122485	7031575	5224694	73.5
GCF_038593545.1	Streptomyces albidoflavus	JAR6	7121650	394096	5237833	73.5
GCF_038662715.1	Streptomyces albidoflavus	SC-3	7102577	7102577	5207053	73.5
GCF_040297505.1	Streptomyces albidoflavus	NPDC001745	7079107	170938	5196719	73.5
GCF_040300205.1	Streptomyces albidoflavus	NPDC000493	7585051	69697	5536760	73
GCF_040300425.1	Streptomyces albidoflavus	NPDC000360	7017831	181318	5149502	73.5
GCF_040300445.1	Streptomyces albidoflavus	NPDC000394	7040025	180160	5171095	73.5
GCF_040302045.1	Streptomyces albidoflavus	NPDC000023	7199523	220129	5279381	73.5
GCF_040302805.1	Streptomyces albidoflavus	NPDC097099	6930587	45790	5054306	73
GCF_040303165.1	Streptomyces albidoflavus	NPDC096061	7149190	124078	5247245	73.5
GCF_040303845.1	Streptomyces albidoflavus	NPDC094052	7194292	179537	5277842	73.5
GCF_040606235.1	Streptomyces albidoflavus	NPDC005450	7028653	138916	5164759	73.5
GCF_040606265.1	Streptomyces albidoflavus	NPDC005441	7281075	154044	5354568	73.5
GCF_040606295.1	Streptomyces albidoflavus	NPDC005446	7037361	43819	5171388	73.5
GCF_040609275.1	Streptomyces albidoflavus	NPDC004694	6999418	679037	5142683	73.5
GCF_040609495.1	Streptomyces albidoflavus	NPDC004660	7028661	155743	5163696	73.5
GCF_040613135.1	Streptomyces albidoflavus	NPDC006311	6617275	5953	4839135	73
GCF_040613195.1	Streptomyces albidoflavus	NPDC006304	7213615	58515	5283309	73
GCF_040613215.1	Streptomyces albidoflavus	NPDC006300	7190438	31247	5278970	73.5
GCF_040628955.1	Streptomyces albidoflavus	NPDC006027	7128272	345972	5232620	73.5
GCF_040629865.1	Streptomyces albidoflavus	NPDC005868	6933280	51886	5100109	73.5
GCF_040630285.1	Streptomyces albidoflavus	NPDC005817	6976711	78069	5129733	73.5
GCF_040633095.1	Streptomyces albidoflavus	NPDC013402	7180939	182863	5261772	73.5
GCF_040633215.1	Streptomyces albidoflavus	NPDC013284	7140691	136705	5230337	73.5
GCF_040634315.1	Streptomyces albidoflavus	NPDC007115	7155732	145309	5256222	73.5
GCF_040634375.1	Streptomyces albidoflavus	NPDC007114	7311940	13219	5322166	73
GCF_040634615.1	Streptomyces albidoflavus	NPDC007079	7077363	82140	5166150	73
GCF_040634665.1	Streptomyces albidoflavus	NPDC007065	6972348	165267	5098489	73
GCF_040634755.1	Streptomyces albidoflavus	NPDC007058	7067323	182162	5162214	73
GCF_040634955.1	Streptomyces albidoflavus	NPDC007024	7134634	143984	5237282	73.5
GCF_040635305.1	Streptomyces albidoflavus	NPDC006977	7008974	201324	5125595	73
GCF_040635445.1	Streptomyces albidoflavus	NPDC006965	7059869	495903	5183201	73.5
GCF_040635525.1	Streptomyces albidoflavus	NPDC006953	7111161	213528	5201693	73
GCF_040635565.1	Streptomyces albidoflavus	NPDC006947	7294131	136814	5320610	73
GCF_040635865.1	Streptomyces albidoflavus	NPDC006834	6874442	151896	5033993	73
GCF_040635945.1	Streptomyces albidoflavus	NPDC006809	7073772	150230	5164159	73
GCF_040636535.1	Streptomyces albidoflavus	NPDC036225	7157462	160832	5257176	73.5
GCF_040637815.1	Streptomyces albidoflavus	NPDC028204	7081857	388009	5200202	73.5
GCF_040640855.1	Streptomyces albidoflavus	NPDC021591	7129142	264354	5218552	73
GCF_040641535.1	Streptomyces albidoflavus	NPDC020773	7388235	151758	5412291	73.5
GCF_040642355.1	Streptomyces albidoflavus	NPDC047859	7161291	261952	5260307	73.5
GCF_040644275.1	Streptomyces albidoflavus	NPDC046998	7026748	168213	5165915	73.5
GCF_040644335.1	Streptomyces albidoflavus	NPDC046987	7299993	212504	5356094	73.5
GCF_040644815.1	Streptomyces albidoflavus	NPDC007108	7243130	65837	5311021	73.5
GCF_040644835.1	Streptomyces albidoflavus	NPDC007082	7336097	144407	5352365	73
GCF_040646775.1	Streptomyces albidoflavus	NPDC045167	7009116	249870	5149933	73.5
GCF_040647175.1	Streptomyces albidoflavus	NPDC044138	7463300	201770	5469298	73.5
GCF_040677505.1	Streptomyces albidoflavus	NPDC053831	7308667	119370	5347694	73
GCF_040677795.1	Streptomyces albidoflavus	NPDC053738	7034899	83229	5167272	73.5
GCF_040677835.1	Streptomyces albidoflavus	NPDC053736	7041462	187753	5171351	73.5
GCF_040677855.1	Streptomyces albidoflavus	NPDC053732	7055559	177202	5183502	73.5
GCF_040678335.1	Streptomyces albidoflavus	NPDC052703	7194425	41446	5264962	73
GCF_040680315.1	Streptomyces albidoflavus	NPDC052085	7286525	209234	5337086	73.5
GCF_040681755.1	Streptomyces albidoflavus	NPDC051581	7118997	187137	5227128	73.5
GCF_040685675.1	Streptomyces albidoflavus	NPDC088199	7775562	77949	5687685	73
GCF_040685755.1	Streptomyces albidoflavus	NPDC088191	7029677	157537	5163517	73.5
GCF_040701785.1	Streptomyces albidoflavus	NPDC090300	7018237	301024	5156782	73.5
GCF_040701885.1	Streptomyces albidoflavus	NPDC088366	6904952	35263	5072597	73.5
GCF_040701985.1	Streptomyces albidoflavus	NPDC088200	7399592	124677	5423970	73.5
GCF_040702625.1	Streptomyces albidoflavus	NPDC078892	7187241	232345	5270125	73.5
GCF_040703575.1	Streptomyces albidoflavus	NPDC007091	7065480	134835	5189409	73.5
GCF_040703655.1	Streptomyces albidoflavus	NPDC007077	7048451	169966	5152998	73
GCF_040706455.1	Streptomyces albidoflavus	NPDC047995	7104621	286309	5213631	73.5
GCF_041438585.1	Streptomyces albidoflavus	NBC 01791	7216567	7025725	5290077	73.5
GCF_041438605.1	Streptomyces albidoflavus	NBC 01790	6972512	6970058	5095866	73
GCF_041438665.1	Streptomyces albidoflavus	NBC 01747	7209897	7184798	5285330	73.5
GCF_041438825.1	Streptomyces albidoflavus	NBC 01692	7184925	7159790	5271204	73.5
GCF_041438845.1	Streptomyces albidoflavus	NBC_01616	7362561	7347685	5395129	73.5
GCF_900171555.1	Streptomyces albidoflavus	R-53649	7004412	43278	5134826	73.5
GCF_947311705.1	Streptomyces albidoflavus	CCOS 2040	7136301	7047941	5234689	73.5
GCA_000156475.1	Streptomyces albidoflavus	J1074	6823670	23675	4841916	73
GCA_000359525.1	Streptomyces albidoflavus	J1074	6841649	6841649	5016384	73.5
GCA_000717375.1	Streptomyces albidoflavus	NRRL B-2307	7202597	186085	5281510	73.5
GCA_000719435.1	Streptomyces albidoflavus	NRRL F-5618	7102828	117486	5216281	73.5
GCA_000719495.1	Streptomyces albidoflavus	NRRL F-5621	7341200	90004	5386406	73.5
GCA_000719955.1	Streptomyces albidoflavus	NRRL B-1271	7084693	160497	5202597	73.5
GCA_001509565.1	Streptomyces albidoflavus	NRRL WC-3066	7151148	67140	5249802	73.5
GCA_001577385.1	Streptomyces albidoflavus	SM254	7170504	7170504	5258852	73.5
GCA_001865795.1	Streptomyces albidoflavus	OsiLf-2	6952079	360729	5104881	73.5
GCA_002289305.1	Streptomyces albidoflavus	145	6523997	7989	4759148	73
GCA_002289335.1	Streptomyces albidoflavus	132	6797439	10498	4963075	73
GCA_002317005.1	Streptomyces albidoflavus	38	6985550	9968	5098725	73
GCA_002317025.1	Streptomyces albidoflavus	138	6978043	11431	5093914	73
GCA_002317035.1	Streptomyces albidoflavus	143	7029244	12358	5133199	73
GCA_004078575.1	Streptomyces albidoflavus	BSII#1	7003169	11575	5112515	73
GCA_004195735.1	Streptomyces albidoflavus	DSM 40455	6969071	332544	5117341	73.5
GCA_004195745.1	Streptomyces albidoflavus	NBRC 100770	7157307	334066	5255098	73.5
GCA_004195755.1	Streptomyces albidoflavus	NBRC 13083	7042329	278969	5174232	73.5
GCA_004195765.1	Streptomyces albidoflavus	CGMCC 4.1677	6978897	364125	5126015	73.5
GCA_004195775.1	Streptomyces albidoflavus	DSM 40233	7053132	262674	5177388	73.5
GCA_004195835.1	Streptomyces albidoflavus	FXJ8.011	7188121	383364	5271537	73.5
GCA_004195845.1	Streptomyces albidoflavus	CGMCC 4.1681	7227023	319881	5300418	73.5
GCA_004195855.1	Streptomyces albidoflavus	FXJ.2339	7120012	377764	5227350	73.5
GCA_004195885.1	Streptomyces albidoflavus	NBRC 12790	6953149	309124	5107188	73.5
GCA_004195895.1	Streptomyces albidoflavus	Ma24	6963119	317189	5121521	73.5
GCA_004195935.1	Streptomyces albidoflavus	CR33	7157271	352542	5256235	73.5
GCA_004195945.1	Streptomyces albidoflavus	CR10	7156688	422844	5253686	73.5
GCA_004195955.1	Streptomyces albidoflavus	CR25	7168767	522740	5264945	73.5
GCA_004195965.1	Streptomyces albidoflavus	Ma1	7268166	551090	5328051	73.5
GCA_004195995.1	Streptomyces albidoflavus	CR47	7135321	508717	5239584	73.5
GCA_004196035.1	Streptomyces albidoflavus	CR19	7103409	514855	5222384	73.5
GCA_004196045.1	Streptomyces albidoflavus	CR46	7046937	247280	5176774	73.5
GCA_004196055.1	Streptomyces albidoflavus	CR16	6970185	113214	5124130	73.5
GCA_004196095.1	Streptomyces albidoflavus	CR15	6956236	266746	5114714	73.5
GCA_004196115.1	Streptomyces albidoflavus	FXJ8.008	7169130	97051	5259158	73.5
GCA_004196125.1	Streptomyces albidoflavus	CR13	6947028	182021	5105344	73.5
GCA_004196135.1	Streptomyces albidoflavus	D62	7144751	256416	5242250	73.5
GCA_004196145.1	Streptomyces albidoflavus	FXJ8.031	6960543	494739	5118582	73.5
GCA_004196155.1	Streptomyces albidoflavus	CGMCC 4.1615	6957957	447068	5116748	73.5
GCA_004196215.1	Streptomyces albidoflavus	FXJ6.189	7356764	368474	5393809	73.5
GCA_006378235.1	Streptomyces albidoflavus	UYFA156	7131381	6823997	5236369	73.5
GCA_007896905.1	Streptomyces albidoflavus	77	7446125	1152190	5448884	73
GCA_010550625.1	Streptomyces albidoflavus	SID9939	6984444	22756	5121553	73.5
GCA_013693715.1	Streptomyces albidoflavus	J1074/R2	6942952	6942952	5085631	73
GCA_015321285.1	Streptomyces albidoflavus	ANT_B131	6968465	236213	5098176	73
GCA_015601545.1	Streptomyces albidoflavus	W68	6796629	6796629	4986446	73.5
GCA_016734825.1	Streptomyces albidoflavus	BT4	6995699	12098	5132628	73.5
GCA_016734865.1	Streptomyces albidoflavus	BT3	6847979	9128	5017083	73.5
GCA_019219645.1	Streptomyces albidoflavus	LGO-A3	7119524	533911	5223755	73.5
GCA_019219685.1	Streptomyces albidoflavus	LGO-A19	7161627	1163265	5249436	73.5
GCA_019286195.1	Streptomyces albidoflavus	LGO-A16	7054925	2183821	5178545	73.5
